titulo_original,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Câmera Microscópio Digital 5mp Ligar Computador,MICROSCOPES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""câmera microscópio digital"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""5mp, ligar computador""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""câmera microscópio digital"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""5mp, ligar computador""}","câmera microscópio digital | 5mp, ligar computador"
Duto Da Caixa De Ar Tucson,ENGINE_INTAKE_HOSES,"{""marca"": ""Hyundai"", ""modelo"": ""Tucson"", ""tipo_produto"": ""duto da caixa de ar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Hyundai"", ""modelo"": ""tucson"", ""tipo_produto"": ""duto da caixa de ar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",duto da caixa de ar | Hyundai | tucson
Kit Chave De Fenda/phillips + 4 Mini Alicates ,SCREWDRIVERS_SETS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de ferramentas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 6 peças"", ""outros_atributos"": ""chave de fenda, chave phillips, 4 mini alicates""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de ferramentas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 6 peças"", ""outros_atributos"": ""chave de fenda, chave phillips, 4 mini alicates""}","kit de ferramentas | kit 6 peças | chave de fenda, chave phillips, 4 mini alicates"
Bone Masculino Envio Rapido Flamengo Aba Curva Promoção Top,FOOTBALL_CAPS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""masculino, flamengo, aba curva""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""masculino, flamengo, aba curva""}","boné | masculino, flamengo, aba curva"
Polia Viscosa Jeep Grand Cherokee Limited 5.2 V8,ENGINE_COOLING_FAN_CLUTCHES,"{""marca"": ""Jeep"", ""modelo"": ""Grand Cherokee Limited 5.2 V8"", ""tipo_produto"": ""polia viscosa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""5.2 v8""}","{""marca"": ""Jeep"", ""modelo"": ""grand cherokee limited 5.2 v8"", ""tipo_produto"": ""polia viscosa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""5.2 v8""}",polia viscosa | Jeep | grand cherokee limited 5.2 v8 | 5.2 v8
Estilete De Precisão X-acto - Lâmina Bisturi Black - X3290,SNAP_OFF_UTILITY_KNIVES,"{""marca"": ""X-acto"", ""modelo"": ""X3290"", ""tipo_produto"": ""estilete de precisão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""lâmina bisturi""}","{""marca"": ""X-Acto"", ""modelo"": ""x3290"", ""tipo_produto"": ""estilete de precisão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""lâmina bisturi""}",estilete de precisão | X-Acto | x3290 | preto | lâmina bisturi
Filtro V-50 Veico Com Válvula -para Piscinas De Até 70 Mil L,POOL_FILTERS,"{""marca"": ""Veico"", ""modelo"": ""V-50"", ""tipo_produto"": ""filtro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com válvula, para piscinas de até 70 mil litros""}","{""marca"": ""Veico"", ""modelo"": ""v-50"", ""tipo_produto"": ""filtro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com válvula, para piscinas de até 70 mil litros""}","filtro | Veico | v-50 | com válvula, para piscinas de até 70 mil litros"
Esterilizador De Mamadeiras Elétrico Philips Avent 110 V,BABY_STERILIZERS,"{""marca"": ""Philips Avent"", ""modelo"": null, ""tipo_produto"": ""esterilizador de mamadeiras"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico""}","{""marca"": ""Philips Avent"", ""modelo"": null, ""tipo_produto"": ""esterilizador de mamadeiras"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico""}",esterilizador de mamadeiras | Philips Avent | 110v | elétrico
Roupa P/ Mergulho Surf E Caça Submarina Hunther Black,WETSUITS,"{""marca"": ""Hunther"", ""modelo"": ""Black"", ""tipo_produto"": ""roupa de mergulho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para surf e caça submarina""}","{""marca"": ""Hunther"", ""modelo"": ""black"", ""tipo_produto"": ""roupa de mergulho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""para surf e caça submarina""}",roupa de mergulho | Hunther | black | preto | para surf e caça submarina
Modelador De Cachos Miracurl Nona Titanium,CURLING_IRONS,"{""marca"": null, ""modelo"": ""Miracurl Nona Titanium"", ""tipo_produto"": ""modelador de cachos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""titânio"", ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""miracurl nona titanium"", ""tipo_produto"": ""modelador de cachos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""titânio"", ""quantidade"": null, ""outros_atributos"": null}",modelador de cachos | miracurl nona titanium | titânio
Pasta Aba Elastica Plastica Patrulha Canina Azul Oficio,FOLDERS_AND_EXPANDING_FILES,"{""marca"": null, ""modelo"": ""Patrulha Canina"", ""tipo_produto"": ""pasta aba elástica"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""azul"", ""material"": ""plástica"", ""quantidade"": null, ""outros_atributos"": ""ofício""}","{""marca"": null, ""modelo"": ""patrulha canina"", ""tipo_produto"": ""pasta aba elástica"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""azul"", ""material"": ""plástica"", ""quantidade"": null, ""outros_atributos"": ""ofício""}",pasta aba elástica | patrulha canina | azul | plástica | ofício
7 Unidades Do Porta Notas E Moedas 10 Compartimentos,CASH_DRAWERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta notas e moedas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""7 unidades"", ""outros_atributos"": ""10 compartimentos""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta notas e moedas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""7 unidades"", ""outros_atributos"": ""10 compartimentos""}",porta notas e moedas | 7 unidades | 10 compartimentos
Little Trees - Aromatizantes Promoção Para Kits 10 Unid,CAR_AIR_FRESHENERS,"{""marca"": ""Little Trees"", ""modelo"": null, ""tipo_produto"": ""aromatizante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 10 unidades"", ""outros_atributos"": ""promoção""}","{""marca"": ""Little Trees"", ""modelo"": null, ""tipo_produto"": ""aromatizante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 10 unidades"", ""outros_atributos"": ""promoção""}",aromatizante | Little Trees | kit 10 unidades | promoção
Alavanca Manete Embreagem Yes Intruder Gsr 125,MOTORCYCLE_LEVERS,"{""marca"": null, ""modelo"": ""Yes Intruder Gsr 125"", ""tipo_produto"": ""alavanca manete de embreagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""yes intruder gsr 125"", ""tipo_produto"": ""alavanca manete de embreagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",alavanca manete de embreagem | yes intruder gsr 125
Antena Tubarao Shark Funcional Verm Toyota Crown 1993/,CAR_ANTENNAS,"{""marca"": ""Toyota"", ""modelo"": ""Crown 1993"", ""tipo_produto"": ""antena tubarão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""funcional, shark""}","{""marca"": ""Toyota"", ""modelo"": ""crown 1993"", ""tipo_produto"": ""antena tubarão"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""funcional, shark""}","antena tubarão | Toyota | crown 1993 | vermelho | funcional, shark"
Refrigerador Expositor 2 Portas Harley Davidson - Metalfrio,MERCHANDISER_REFRIGERATORS,"{""marca"": ""Metalfrio"", ""modelo"": ""Harley Davidson"", ""tipo_produto"": ""refrigerador expositor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 portas"", ""outros_atributos"": null}","{""marca"": ""Metalfrio"", ""modelo"": ""harley davidson"", ""tipo_produto"": ""refrigerador expositor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 portas"", ""outros_atributos"": null}",refrigerador expositor | Metalfrio | harley davidson | 2 portas
Sonda Uretral Nr-12 - 100 Unidades - O Melhor ,CATHETERS,"{""marca"": null, ""modelo"": ""nr-12"", ""tipo_produto"": ""sonda uretral"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""100 unidades"", ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""nr-12"", ""tipo_produto"": ""sonda uretral"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""100 unidades"", ""outros_atributos"": null}",sonda uretral | nr-12 | 100 unidades
Pneu Moto Avon Trailrider Av54 Tr 160/60zr17 69w Bmw G650x,MOTORCYCLE_TIRES,"{""marca"": ""Avon"", ""modelo"": ""Trailrider Av54"", ""tipo_produto"": ""pneu de moto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""160/60zr17 69w, compatível com bmw g650x""}","{""marca"": ""Avon"", ""modelo"": ""trailrider av54"", ""tipo_produto"": ""pneu de moto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""160/60zr17 69w, compatível com bmw g650x""}","pneu de moto | Avon | trailrider av54 | 160/60zr17 69w, compatível com bmw g650x"
Patins Fila Houdini,ROLLER_SKATES,"{""marca"": ""Fila"", ""modelo"": ""Houdini"", ""tipo_produto"": ""patins"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Fila"", ""modelo"": ""houdini"", ""tipo_produto"": ""patins"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",patins | Fila | houdini
Macaco Hidráulico Tipo Jacaré 2 Toneladas C/ Maleta - Vonder,HYDRAULIC_VEHICLE_JACKS,"{""marca"": ""Vonder"", ""modelo"": null, ""tipo_produto"": ""macaco hidráulico"", ""capacidade_volume"": ""2 toneladas"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo jacaré, com maleta""}","{""marca"": ""Vonder"", ""modelo"": null, ""tipo_produto"": ""macaco hidráulico"", ""capacidade_volume"": ""2 toneladas"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo jacaré, com maleta""}","macaco hidráulico | Vonder | 2 toneladas | tipo jacaré, com maleta"
"Caixa Térmica Azul 16qt (15,1l )  Coleman",THERMAL_REFRIGERATORS_AND_BAGS,"{""marca"": ""Coleman"", ""modelo"": null, ""tipo_produto"": ""caixa térmica"", ""capacidade_volume"": ""15100ml"", ""voltagem"": null, ""cor"": ""azul"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16qt""}","{""marca"": ""Coleman"", ""modelo"": null, ""tipo_produto"": ""caixa térmica"", ""capacidade_volume"": ""15100ml"", ""voltagem"": null, ""cor"": ""azul"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16qt""}",caixa térmica | Coleman | 15100ml | azul | 16qt
Sofa Novo 290x100 Em Tecido Suede Camurça Grafite,SOFAS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""sofá"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""grafite"", ""material"": ""tecido suede camurça"", ""quantidade"": null, ""outros_atributos"": ""290x100""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""sofá"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""grafite"", ""material"": ""tecido suede camurça"", ""quantidade"": null, ""outros_atributos"": ""290x100""}",sofá | grafite | tecido suede camurça | 290x100
Suporte Barra Tensora Prisma 2006 2007 2008 2009 2010 (par),TORSION_BARS,"{""marca"": null, ""modelo"": ""Prisma"", ""tipo_produto"": ""suporte barra tensora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""ano 2006 a 2010""}","{""marca"": null, ""modelo"": ""prisma"", ""tipo_produto"": ""suporte barra tensora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""ano 2006 a 2010""}",suporte barra tensora | prisma | par | ano 2006 a 2010
Lente Nikkor Nikon 18-200mm Vrii,CAMERA_LENSES,"{""marca"": ""Nikon"", ""modelo"": ""Nikkor 18-200mm Vrii"", ""tipo_produto"": ""lente"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Nikon"", ""modelo"": ""nikkor 18-200mm vrii"", ""tipo_produto"": ""lente"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",lente | Nikon | nikkor 18-200mm vrii
Cpu Gamer Core I3 8gb Ddr3 Hdmi Novo Vídeo Off 2gb + Brinde,DESKTOP_COMPUTERS,"{""marca"": null, ""modelo"": ""Core i3"", ""tipo_produto"": ""cpu gamer"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""8gb ddr3, hdmi, vídeo off 2gb, novo, com brinde""}","{""marca"": null, ""modelo"": ""core i3"", ""tipo_produto"": ""cpu gamer"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""8gb ddr3, hdmi, vídeo off 2gb, novo, com brinde""}","cpu gamer | core i3 | 8gb ddr3, hdmi, vídeo off 2gb, novo, com brinde"
Notebook Hp Elitebook 8460p I5 2gb Ram,NOTEBOOKS,"{""marca"": ""Hp"", ""modelo"": ""Elitebook 8460p"", ""tipo_produto"": ""notebook"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""i5, 2gb ram""}","{""marca"": ""Hp"", ""modelo"": ""elitebook 8460p"", ""tipo_produto"": ""notebook"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""i5, 2gb ram""}","notebook | Hp | elitebook 8460p | i5, 2gb ram"
Tampa De Vidro Número 22 E 24,STOVETOP_POPCORN_POPPERS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tampa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""vidro"", ""quantidade"": ""2 peças"", ""outros_atributos"": ""número 22 e 24""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tampa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""vidro"", ""quantidade"": ""2 peças"", ""outros_atributos"": ""número 22 e 24""}",tampa | vidro | 2 peças | número 22 e 24
Sony Action Cam 4k - Fdr X1000 (usei 2 Meses),VIDEO_CAMERAS,"{""marca"": ""Sony"", ""modelo"": ""Fdr X1000"", ""tipo_produto"": ""câmera de ação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4k, usado 2 meses""}","{""marca"": ""Sony"", ""modelo"": ""fdr x1000"", ""tipo_produto"": ""câmera de ação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4k, usado 2 meses""}","câmera de ação | Sony | fdr x1000 | 4k, usado 2 meses"
Amplificador Para Baixo Orange Crush Bass 25 W C/ Nf,INSTRUMENT_AMPLIFIERS,"{""marca"": ""Orange"", ""modelo"": ""Crush Bass 25"", ""tipo_produto"": ""amplificador para baixo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""25w, c/ nf""}","{""marca"": ""Orange"", ""modelo"": ""crush bass 25"", ""tipo_produto"": ""amplificador para baixo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""25w, c/ nf""}","amplificador para baixo | Orange | crush bass 25 | 25w, c/ nf"
Amortecedor Porta Mala Fiesta Hatch 1996 A 2007 Ler Anúncio,GAS_LIFT_SUPPORTS,"{""marca"": null, ""modelo"": ""Fiesta Hatch"", ""tipo_produto"": ""amortecedor porta mala"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 1996 a 2007, ler anúncio""}","{""marca"": null, ""modelo"": ""fiesta hatch"", ""tipo_produto"": ""amortecedor porta mala"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 1996 a 2007, ler anúncio""}","amortecedor porta mala | fiesta hatch | ano 1996 a 2007, ler anúncio"
Par Disco De Freio Dianteiro Amarok 2.0 16v 2010 Em Diante,VEHICLE_BRAKE_DISCS,"{""marca"": null, ""modelo"": ""Amarok 2.0 16v"", ""tipo_produto"": ""disco de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteiro, 2010 em diante""}","{""marca"": null, ""modelo"": ""amarok 2.0 16v"", ""tipo_produto"": ""disco de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteiro, 2010 em diante""}","disco de freio | amarok 2.0 16v | par | dianteiro, 2010 em diante"
Fantasia Bebê Borboleta Rosa Com Borda Preta E Saia,COSTUMES,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fantasia bebê"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""rosa"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""borboleta, com borda preta, com saia""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fantasia bebê"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""rosa"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""borboleta, com borda preta, com saia""}","fantasia bebê | rosa | borboleta, com borda preta, com saia"
Acabamento Soleira Esquerda Bmw 116i 17365810 13505 K,CAR_CENTER_CONSOLES,"{""marca"": ""Bmw"", ""modelo"": ""116i"", ""tipo_produto"": ""acabamento soleira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""lado esquerdo, código 17365810, código 13505""}","{""marca"": ""Bmw"", ""modelo"": ""116i"", ""tipo_produto"": ""acabamento soleira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""lado esquerdo, código 17365810, código 13505""}","acabamento soleira | Bmw | 116i | lado esquerdo, código 17365810, código 13505"
Medidor De Umidade De Grãos Digital Gehaka G650i,HYGROMETERS,"{""marca"": ""Gehaka"", ""modelo"": ""G650i"", ""tipo_produto"": ""medidor de umidade de grãos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""digital""}","{""marca"": ""Gehaka"", ""modelo"": ""g650i"", ""tipo_produto"": ""medidor de umidade de grãos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""digital""}",medidor de umidade de grãos | Gehaka | g650i | digital
Fonte K-mex Pcwells Pk-500 500wts Atx12v ,DESKTOP_COMPUTER_POWER_SUPPLIES,"{""marca"": ""K-mex"", ""modelo"": ""Pcwells Pk-500"", ""tipo_produto"": ""fonte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""500w, atx12v""}","{""marca"": ""K-Mex"", ""modelo"": ""pcwells pk-500"", ""tipo_produto"": ""fonte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""500w, atx12v""}","fonte | K-Mex | pcwells pk-500 | 500w, atx12v"
Braço Tirante Pivo Diant Esq Bmw 320i X1 2011  5028 R3,IDLER_ARMS,"{""marca"": ""Bmw"", ""modelo"": ""320i X1"", ""tipo_produto"": ""braço tirante pivô"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteiro esquerdo, ano 2011, código 5028 r3""}","{""marca"": ""Bmw"", ""modelo"": ""320i x1"", ""tipo_produto"": ""braço tirante pivô"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteiro esquerdo, ano 2011, código 5028 r3""}","braço tirante pivô | Bmw | 320i x1 | dianteiro esquerdo, ano 2011, código 5028 r3"
Veda Porta Borracha Pvc Branco C/ Fita 2-1mt+4-80cm,TABLE_TENNIS_RACKETS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""veda porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": ""borracha pvc"", ""quantidade"": ""kit 6 peças"", ""outros_atributos"": ""c/ fita, 2 unidades de 1mt, 4 unidades de 80cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""veda porta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco"", ""material"": ""borracha pvc"", ""quantidade"": ""kit 6 peças"", ""outros_atributos"": ""c/ fita, 2 unidades de 1mt, 4 unidades de 80cm""}","veda porta | branco | borracha pvc | kit 6 peças | c/ fita, 2 unidades de 1mt, 4 unidades de 80cm"
Conjunto Infantil Futebol Milan +bola De Futebol+caneleira ,FOOTBALL_KITS,"{""marca"": null, ""modelo"": ""Milan"", ""tipo_produto"": ""conjunto infantil"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""futebol, inclui bola de futebol e caneleira""}","{""marca"": null, ""modelo"": ""milan"", ""tipo_produto"": ""conjunto infantil"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 3 peças"", ""outros_atributos"": ""futebol, inclui bola de futebol e caneleira""}","conjunto infantil | milan | kit 3 peças | futebol, inclui bola de futebol e caneleira"
Boné Blck Panda Respingos Preto,FOOTBALL_CAPS,"{""marca"": ""Blck"", ""modelo"": ""Panda Respingos"", ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Blck"", ""modelo"": ""panda respingos"", ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",boné | Blck | panda respingos | preto
Dobradiça Porta Diant Tras Sup Inf Esq Amarok Após 10 2pts,CAR_DOOR_HINGES,"{""marca"": null, ""modelo"": ""Amarok"", ""tipo_produto"": ""dobradiça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""porta dianteira e traseira, superior e inferior, esquerda, após 2010, 2 portas""}","{""marca"": null, ""modelo"": ""amarok"", ""tipo_produto"": ""dobradiça"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""porta dianteira e traseira, superior e inferior, esquerda, após 2010, 2 portas""}","dobradiça | amarok | porta dianteira e traseira, superior e inferior, esquerda, após 2010, 2 portas"
Mac Mini 2014 Upgrade Para Ssd 480gb 8gb Ram,MINI_PCS,"{""marca"": ""Apple"", ""modelo"": ""Mac Mini 2014"", ""tipo_produto"": ""computador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ssd 480gb, 8gb ram""}","{""marca"": ""Apple"", ""modelo"": ""mac mini 2014"", ""tipo_produto"": ""computador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ssd 480gb, 8gb ram""}","computador | Apple | mac mini 2014 | ssd 480gb, 8gb ram"
Skimmer Hang On Boyu Dg-1524 P/ 350 110v Litros- ,AQUARIUM_SKIMMERS,"{""marca"": ""Boyu"", ""modelo"": ""Dg-1524"", ""tipo_produto"": ""skimmer"", ""capacidade_volume"": ""350l"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""hang on""}","{""marca"": ""Boyu"", ""modelo"": ""dg-1524"", ""tipo_produto"": ""skimmer"", ""capacidade_volume"": ""350l"", ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""hang on""}",skimmer | Boyu | dg-1524 | 350l | 110v | hang on
Vinho Argentino Maldito By Vicentin Kit 2 Und.,WINES,"{""marca"": ""Vicentin"", ""modelo"": ""Maldito"", ""tipo_produto"": ""vinho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 unidades"", ""outros_atributos"": ""argentino""}","{""marca"": ""Vicentin"", ""modelo"": ""maldito"", ""tipo_produto"": ""vinho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit 2 unidades"", ""outros_atributos"": ""argentino""}",vinho | Vicentin | maldito | kit 2 unidades | argentino
