titulo_original,titulo_pre_norm,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
Teclado Arranjador Yamaha Psrew300 Com Fonte + Capa Ew300,Teclado Arranjador Yamaha Psrew300 Com Fonte + Capa Ew300,MUSICAL_KEYBOARDS,"{""idx"": 39, ""marca"": ""Yamaha"", ""modelo"": ""psrew300"", ""tipo_produto"": ""teclado arranjador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com fonte + capa ew300""}","{""marca"": ""Yamaha"", ""modelo"": ""psrew300"", ""tipo_produto"": ""teclado arranjador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com fonte + capa ew300""}",teclado arranjador | Yamaha | psrew300 | com fonte + capa ew300
Longboard Globe Catalina Quase Novo!,Longboard Globe Catalina Quase Novo!,LONGBOARDS,"{""idx"": 40, ""marca"": ""Globe"", ""modelo"": ""Catalina"", ""tipo_produto"": ""longboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""quase novo""}","{""marca"": ""Globe"", ""modelo"": ""catalina"", ""tipo_produto"": ""longboard"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""quase novo""}",longboard | Globe | catalina | quase novo
Caneca Moscow Mule Cobre 350 Ml Alçaq Chata 40 Unid M A,Caneca Moscow Mule Cobre 350 Ml Alçaq Chata 40 Unid M A,MUGS,"{""idx"": 41, ""marca"": null, ""modelo"": ""Moscow Mule"", ""tipo_produto"": ""caneca"", ""capacidade_volume"": ""350ml"", ""voltagem"": null, ""cor"": ""cobre"", ""material"": ""cobre"", ""quantidade"": ""40 unid"", ""outros_atributos"": ""alça chata""}","{""marca"": null, ""modelo"": ""moscow mule"", ""tipo_produto"": ""caneca"", ""capacidade_volume"": ""350ml"", ""voltagem"": null, ""cor"": ""cobre"", ""material"": ""cobre"", ""quantidade"": ""40 unid"", ""outros_atributos"": ""alça chata""}",caneca | moscow mule | 350ml | cobre | cobre | 40 unid | alça chata
Kit Gabinete Com Cuba E Espelho Compace Branco/vermont Oak,Kit Gabinete Com Cuba E Espelho Compace Branco/vermont Oak,BATHROOM_VANITIES,"{""idx"": 42, ""marca"": ""Compace"", ""modelo"": null, ""tipo_produto"": ""gabinete para banheiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco/vermont oak"", ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""com cuba e espelho""}","{""marca"": ""Compace"", ""modelo"": null, ""tipo_produto"": ""gabinete para banheiro"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""branco/vermont oak"", ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""com cuba e espelho""}",gabinete para banheiro | Compace | branco/vermont oak | kit | com cuba e espelho
Câmera Microscópio Digital 5mp Ligar Computador,Câmera Microscópio Digital 5mp Ligar Computador,MICROSCOPES,"{""idx"": 43, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""microscópio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""câmera digital 5mp, ligar computador""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""microscópio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""câmera digital 5mp, ligar computador""}","microscópio | câmera digital 5mp, ligar computador"
Duto Da Caixa De Ar Tucson,Duto Da Caixa De Ar Tucson,ENGINE_INTAKE_HOSES,"{""idx"": 44, ""marca"": null, ""modelo"": ""Tucson"", ""tipo_produto"": ""duto da caixa de ar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""tucson"", ""tipo_produto"": ""duto da caixa de ar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",duto da caixa de ar | tucson
Kit Chave De Fenda/phillips + 4 Mini Alicates ,Kit Chave De Fenda/phillips + 4 Mini Alicates,SCREWDRIVERS_SETS,"{""idx"": 45, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de ferramentas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""chave de fenda, phillips, 4 mini alicates""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""kit de ferramentas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""kit"", ""outros_atributos"": ""chave de fenda, phillips, 4 mini alicates""}","kit de ferramentas | kit | chave de fenda, phillips, 4 mini alicates"
Bone Masculino Envio Rapido Flamengo Aba Curva Promoção Top,Bone Masculino Envio Rapido Flamengo Aba Curva Promoção Top,FOOTBALL_CAPS,"{""idx"": 46, ""marca"": ""Flamengo"", ""modelo"": null, ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""masculino, aba curva""}","{""marca"": ""Flamengo"", ""modelo"": null, ""tipo_produto"": ""boné"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""masculino, aba curva""}","boné | Flamengo | masculino, aba curva"
Polia Viscosa Jeep Grand Cherokee Limited 5.2 V8,Polia Viscosa Jeep Grand Cherokee Limited 5.2 V8,ENGINE_COOLING_FAN_CLUTCHES,"{""idx"": 47, ""marca"": ""Jeep"", ""modelo"": ""Grand Cherokee Limited 5.2 V8"", ""tipo_produto"": ""polia viscosa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Jeep"", ""modelo"": ""grand cherokee limited 5.2 v8"", ""tipo_produto"": ""polia viscosa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",polia viscosa | Jeep | grand cherokee limited 5.2 v8
Estilete De Precisão X-acto - Lâmina Bisturi Black - X3290,Estilete De Precisão X-acto - Lâmina Bisturi Black - X3290,SNAP_OFF_UTILITY_KNIVES,"{""idx"": 48, ""marca"": ""X-acto"", ""modelo"": ""X3290"", ""tipo_produto"": ""estilete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""precisão, lâmina bisturi""}","{""marca"": ""X-Acto"", ""modelo"": ""x3290"", ""tipo_produto"": ""estilete"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""precisão, lâmina bisturi""}","estilete | X-Acto | x3290 | preto | precisão, lâmina bisturi"
Filtro V-50 Veico Com Válvula -para Piscinas De Até 70 Mil L,Filtro V-50 Veico Com Válvula -para Piscinas De Até 70 Mil L,POOL_FILTERS,"{""idx"": 49, ""marca"": ""Veico"", ""modelo"": ""V-50"", ""tipo_produto"": ""filtro para piscina"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com válvula, para piscinas de até 70000l""}","{""marca"": ""Veico"", ""modelo"": ""v-50"", ""tipo_produto"": ""filtro para piscina"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com válvula, para piscinas de até 70000l""}","filtro para piscina | Veico | v-50 | com válvula, para piscinas de até 70000l"
Esterilizador De Mamadeiras Elétrico Philips Avent 110 V,Esterilizador De Mamadeiras Elétrico Philips Avent 110 V,BABY_STERILIZERS,"{""idx"": 50, ""marca"": ""Philips Avent"", ""modelo"": null, ""tipo_produto"": ""esterilizador de mamadeiras"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico""}","{""marca"": ""Philips Avent"", ""modelo"": null, ""tipo_produto"": ""esterilizador de mamadeiras"", ""capacidade_volume"": null, ""voltagem"": ""110v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico""}",esterilizador de mamadeiras | Philips Avent | 110v | elétrico
Roupa P/ Mergulho Surf E Caça Submarina Hunther Black,Roupa P/ Mergulho Surf E Caça Submarina Hunther Black,WETSUITS,"{""idx"": 51, ""marca"": ""Hunther"", ""modelo"": ""Black"", ""tipo_produto"": ""roupa de mergulho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""surf e caça submarina""}","{""marca"": ""Hunther"", ""modelo"": ""black"", ""tipo_produto"": ""roupa de mergulho"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""surf e caça submarina""}",roupa de mergulho | Hunther | black | preto | surf e caça submarina
Modelador De Cachos Miracurl Nona Titanium,Modelador De Cachos Miracurl Nona Titanium,CURLING_IRONS,"{""idx"": 52, ""marca"": ""Miracurl"", ""modelo"": ""Nona Titanium"", ""tipo_produto"": ""modelador de cachos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""titânio"", ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Miracurl"", ""modelo"": ""nona titanium"", ""tipo_produto"": ""modelador de cachos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""titânio"", ""quantidade"": null, ""outros_atributos"": null}",modelador de cachos | Miracurl | nona titanium | titânio
Pasta Aba Elastica Plastica Patrulha Canina Azul Oficio,Pasta Aba Elastica Plastica Patrulha Canina Azul Oficio,FOLDERS_AND_EXPANDING_FILES,"{""idx"": 53, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""pasta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""azul"", ""material"": ""plástico"", ""quantidade"": null, ""outros_atributos"": ""aba elástica, patrulha canina, ofício""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""pasta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""azul"", ""material"": ""plástico"", ""quantidade"": null, ""outros_atributos"": ""aba elástica, patrulha canina, ofício""}","pasta | azul | plástico | aba elástica, patrulha canina, ofício"
7 Unidades Do Porta Notas E Moedas 10 Compartimentos,7 Unidades Do Porta Notas E Moedas 10 Compartimentos,CASH_DRAWERS,"{""idx"": 54, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta notas e moedas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""7 unidades"", ""outros_atributos"": ""10 compartimentos""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""porta notas e moedas"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""7 unidades"", ""outros_atributos"": ""10 compartimentos""}",porta notas e moedas | 7 unidades | 10 compartimentos
Little Trees - Aromatizantes Promoção Para Kits 10 Unid,Little Trees - Aromatizantes Promoção Para Kits 10 Unid,CAR_AIR_FRESHENERS,"{""idx"": 55, ""marca"": ""Little Trees"", ""modelo"": null, ""tipo_produto"": ""aromatizante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": ""promoção""}","{""marca"": ""Little Trees"", ""modelo"": null, ""tipo_produto"": ""aromatizante"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""10 unidades"", ""outros_atributos"": ""promoção""}",aromatizante | Little Trees | 10 unidades | promoção
Alavanca Manete Embreagem Yes Intruder Gsr 125,Alavanca Manete Embreagem Yes Intruder Gsr 125,MOTORCYCLE_LEVERS,"{""idx"": 56, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""alavanca de embreagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compatível com yes, intruder, gsr 125""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""alavanca de embreagem"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""compatível com yes, intruder, gsr 125""}","alavanca de embreagem | compatível com yes, intruder, gsr 125"
Antena Tubarao Shark Funcional Verm Toyota Crown 1993/,Antena Tubarao Shark Funcional Verm Toyota Crown 1993/,CAR_ANTENNAS,"{""idx"": 57, ""marca"": null, ""modelo"": ""tubarão shark"", ""tipo_produto"": ""antena"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""funcional, compatível com toyota crown 1993/""}","{""marca"": null, ""modelo"": ""tubarão shark"", ""tipo_produto"": ""antena"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""funcional, compatível com toyota crown 1993/""}","antena | tubarão shark | vermelho | funcional, compatível com toyota crown 1993/"
Refrigerador Expositor 2 Portas Harley Davidson - Metalfrio,Refrigerador Expositor 2 Portas Harley Davidson - Metalfrio,MERCHANDISER_REFRIGERATORS,"{""idx"": 58, ""marca"": ""Metalfrio"", ""modelo"": ""harley davidson"", ""tipo_produto"": ""geladeira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 portas"", ""outros_atributos"": ""expositor""}","{""marca"": ""Metalfrio"", ""modelo"": ""harley davidson"", ""tipo_produto"": ""geladeira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 portas"", ""outros_atributos"": ""expositor""}",geladeira | Metalfrio | harley davidson | 2 portas | expositor
Sonda Uretral Nr-12 - 100 Unidades - O Melhor ,Sonda Uretral Nr-12 - 100 Unidades - O Melhor,CATHETERS,"{""idx"": 59, ""marca"": null, ""modelo"": ""nr-12"", ""tipo_produto"": ""sonda uretral"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""100 unidades"", ""outros_atributos"": null}","{""marca"": null, ""modelo"": ""nr-12"", ""tipo_produto"": ""sonda uretral"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""100 unidades"", ""outros_atributos"": null}",sonda uretral | nr-12 | 100 unidades
Pneu Moto Avon Trailrider Av54 Tr 160/60zr17 69w Bmw G650x,Pneu Moto Avon Trailrider Av54 Tr 160/60zr17 69w Bmw G650x,MOTORCYCLE_TIRES,"{""idx"": 60, ""marca"": ""Avon"", ""modelo"": ""Trailrider Av54"", ""tipo_produto"": ""pneu de moto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""160/60zr17 69w, bmw g650x""}","{""marca"": ""Avon"", ""modelo"": ""trailrider av54"", ""tipo_produto"": ""pneu de moto"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""160/60zr17 69w, bmw g650x""}","pneu de moto | Avon | trailrider av54 | 160/60zr17 69w, bmw g650x"
Patins Fila Houdini,Patins Fila Houdini,ROLLER_SKATES,"{""idx"": 61, ""marca"": ""Fila"", ""modelo"": ""Houdini"", ""tipo_produto"": ""patins"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Fila"", ""modelo"": ""houdini"", ""tipo_produto"": ""patins"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",patins | Fila | houdini
Macaco Hidráulico Tipo Jacaré 2 Toneladas C/ Maleta - Vonder,Macaco Hidráulico Tipo Jacaré 2 Toneladas C/ Maleta - Vonder,HYDRAULIC_VEHICLE_JACKS,"{""idx"": 62, ""marca"": ""Vonder"", ""modelo"": ""jacaré"", ""tipo_produto"": ""macaco hidráulico"", ""capacidade_volume"": ""2 toneladas"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com maleta""}","{""marca"": ""Vonder"", ""modelo"": ""jacaré"", ""tipo_produto"": ""macaco hidráulico"", ""capacidade_volume"": ""2 toneladas"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""com maleta""}",macaco hidráulico | Vonder | jacaré | 2 toneladas | com maleta
"Caixa Térmica Azul 16qt (15,1l )  Coleman","Caixa Térmica Azul 16qt (15,1000ml ) Coleman",THERMAL_REFRIGERATORS_AND_BAGS,"{""idx"": 63, ""marca"": ""Coleman"", ""modelo"": null, ""tipo_produto"": ""caixa térmica"", ""capacidade_volume"": ""15100ml"", ""voltagem"": null, ""cor"": ""azul"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16qt""}","{""marca"": ""Coleman"", ""modelo"": null, ""tipo_produto"": ""caixa térmica"", ""capacidade_volume"": ""15100ml"", ""voltagem"": null, ""cor"": ""azul"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""16qt""}",caixa térmica | Coleman | 15100ml | azul | 16qt
Sofa Novo 290x100 Em Tecido Suede Camurça Grafite,Sofa Novo 290x100 Em Tecido Suede Camurça Grafite,SOFAS,"{""idx"": 64, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""sofá"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""grafite"", ""material"": ""suede camurça"", ""quantidade"": null, ""outros_atributos"": ""290x100""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""sofá"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""grafite"", ""material"": ""suede camurça"", ""quantidade"": null, ""outros_atributos"": ""290x100""}",sofá | grafite | suede camurça | 290x100
Suporte Barra Tensora Prisma 2006 2007 2008 2009 2010 (par),Suporte Barra Tensora Prisma 2006 2007 2008 2009 2010 (par),TORSION_BARS,"{""idx"": 65, ""marca"": null, ""modelo"": ""Prisma"", ""tipo_produto"": ""suporte barra tensora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""2006 2007 2008 2009 2010""}","{""marca"": null, ""modelo"": ""prisma"", ""tipo_produto"": ""suporte barra tensora"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""2006 2007 2008 2009 2010""}",suporte barra tensora | prisma | par | 2006 2007 2008 2009 2010
Lente Nikkor Nikon 18-200mm Vrii,Lente Nikkor Nikon 18-200mm Vrii,CAMERA_LENSES,"{""idx"": 66, ""marca"": ""Nikon"", ""modelo"": ""Nikkor 18-200mm vrii"", ""tipo_produto"": ""lente"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Nikon"", ""modelo"": ""nikkor 18-200mm vrii"", ""tipo_produto"": ""lente"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",lente | Nikon | nikkor 18-200mm vrii
Cpu Gamer Core I3 8gb Ddr3 Hdmi Novo Vídeo Off 2gb + Brinde,Cpu Gamer Core I3 8gb Ddr3 Hdmi Novo Vídeo Off 2gb + Brinde,DESKTOP_COMPUTERS,"{""idx"": 67, ""marca"": null, ""modelo"": ""core i3"", ""tipo_produto"": ""computador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gamer, 8gb ddr3, hdmi, vídeo off 2gb, novo""}","{""marca"": null, ""modelo"": ""core i3"", ""tipo_produto"": ""computador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""gamer, 8gb ddr3, hdmi, vídeo off 2gb, novo""}","computador | core i3 | gamer, 8gb ddr3, hdmi, vídeo off 2gb, novo"
Notebook Hp Elitebook 8460p I5 2gb Ram,Notebook Hp Elitebook 8460p I5 2gb Ram,NOTEBOOKS,"{""idx"": 68, ""marca"": ""Hp"", ""modelo"": ""Elitebook 8460p"", ""tipo_produto"": ""notebook"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""i5, 2gb ram""}","{""marca"": ""Hp"", ""modelo"": ""elitebook 8460p"", ""tipo_produto"": ""notebook"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""i5, 2gb ram""}","notebook | Hp | elitebook 8460p | i5, 2gb ram"
Tampa De Vidro Número 22 E 24,Tampa De Vidro Número 22 E 24,STOVETOP_POPCORN_POPPERS,"{""idx"": 69, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""tampa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""vidro"", ""quantidade"": null, ""outros_atributos"": ""número 22 e 24""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""tampa"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""vidro"", ""quantidade"": null, ""outros_atributos"": ""número 22 e 24""}",tampa | vidro | número 22 e 24
Sony Action Cam 4k - Fdr X1000 (usei 2 Meses),Sony Action Cam 4kg - Fdr X1000 (usei 2 Meses),VIDEO_CAMERAS,"{""idx"": 70, ""marca"": ""Sony"", ""modelo"": ""Fdr X1000"", ""tipo_produto"": ""câmera de ação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4k""}","{""marca"": ""Sony"", ""modelo"": ""fdr x1000"", ""tipo_produto"": ""câmera de ação"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""4k""}",câmera de ação | Sony | fdr x1000 | 4k
Amplificador Para Baixo Orange Crush Bass 25 W C/ Nf,Amplificador Para Baixo Orange Crush Bass 25 W C/ Nf,INSTRUMENT_AMPLIFIERS,"{""idx"": 71, ""marca"": ""Orange"", ""modelo"": ""Crush Bass 25"", ""tipo_produto"": ""amplificador para baixo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""25w""}","{""marca"": ""Orange"", ""modelo"": ""crush bass 25"", ""tipo_produto"": ""amplificador para baixo"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""25w""}",amplificador para baixo | Orange | crush bass 25 | 25w
Amortecedor Porta Mala Fiesta Hatch 1996 A 2007 Ler Anúncio,Amortecedor Porta Mala Fiesta Hatch 1996 A 2007 Ler Anúncio,GAS_LIFT_SUPPORTS,"{""idx"": 72, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""amortecedor de porta-mala"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""fiesta hatch 1996 a 2007""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""amortecedor de porta-mala"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""fiesta hatch 1996 a 2007""}",amortecedor de porta-mala | fiesta hatch 1996 a 2007
Par Disco De Freio Dianteiro Amarok 2.0 16v 2010 Em Diante,Par Disco De Freio Dianteiro Amarok 2.0 16v 2010 Em Diante,VEHICLE_BRAKE_DISCS,"{""idx"": 73, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""disco de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteiro, amarok 2.0 16v 2010 em diante""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""disco de freio"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""par"", ""outros_atributos"": ""dianteiro, amarok 2.0 16v 2010 em diante""}","disco de freio | par | dianteiro, amarok 2.0 16v 2010 em diante"
Fantasia Bebê Borboleta Rosa Com Borda Preta E Saia,Fantasia Bebê Borboleta Rosa Com Borda Preta E Saia,COSTUMES,"{""idx"": 74, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""fantasia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""rosa e preta"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""bebê, borboleta, com saia""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""fantasia"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""rosa e preta"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""bebê, borboleta, com saia""}","fantasia | rosa e preta | bebê, borboleta, com saia"
Acabamento Soleira Esquerda Bmw 116i 17365810 13505 K,Acabamento Soleira Esquerda Bmw 116i 17365810 13505kg,CAR_CENTER_CONSOLES,"{""idx"": 75, ""marca"": ""Bmw"", ""modelo"": ""116i"", ""tipo_produto"": ""acabamento soleira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquerda, 17365810, 13505kg""}","{""marca"": ""Bmw"", ""modelo"": ""116i"", ""tipo_produto"": ""acabamento soleira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""esquerda, 17365810, 13505kg""}","acabamento soleira | Bmw | 116i | esquerda, 17365810, 13505kg"
Medidor De Umidade De Grãos Digital Gehaka G650i,Medidor De Umidade De Grãos Digital Gehaka G650i,HYGROMETERS,"{""idx"": 76, ""marca"": ""Gehaka"", ""modelo"": ""G650i"", ""tipo_produto"": ""medidor de umidade"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""digital, grãos""}","{""marca"": ""Gehaka"", ""modelo"": ""g650i"", ""tipo_produto"": ""medidor de umidade"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""digital, grãos""}","medidor de umidade | Gehaka | g650i | digital, grãos"
Fonte K-mex Pcwells Pk-500 500wts Atx12v ,Fonte K-mex Pcwells Pk-500 500wts Atx12v,DESKTOP_COMPUTER_POWER_SUPPLIES,"{""idx"": 77, ""marca"": ""K-mex"", ""modelo"": ""Pk-500"", ""tipo_produto"": ""fonte"", ""capacidade_volume"": null, ""voltagem"": ""12v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""500wts, atx""}","{""marca"": ""K-Mex"", ""modelo"": ""pk-500"", ""tipo_produto"": ""fonte"", ""capacidade_volume"": null, ""voltagem"": ""12v"", ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""500wts, atx""}","fonte | K-Mex | pk-500 | 12v | 500wts, atx"
